configuration_name,question_id,question,gold_answer,predicted_answer,correct,similarity,retrieved_source_articles
best_bi_encoder_sentence_128_overlap_0,q01,In what year was artificial intelligence founded as an academic discipline?,"Artificial intelligence was founded as an academic discipline in 1956, at a workshop at Dartmouth College.",1956,1,0.07407407407407407,"['Artificial intelligence', 'Artificial intelligence', 'Artificial intelligence', 'Artificial intelligence', 'Artificial intelligence']"
best_bi_encoder_sentence_128_overlap_0,q02,Who coined the term 'machine learning' and in what year?,"The term machine learning was coined in 1959 by Arthur Samuel, an IBM employee and pioneer in the field of computer gaming and artificial intelligence.",[Chunk 1] == History,0,0.13414634146341464,"['Machine learning', 'Machine learning', 'Machine learning', 'Machine learning', 'Deep learning']"
best_bi_encoder_sentence_128_overlap_0,q03,What does the adjective 'deep' refer to in deep learning?,The adjective 'deep' refers to the use of multiple layers (ranging from three to several hundred or thousands) in the network.,the number of layers,0,0.22695035460992907,"['Deep learning', 'Deep learning', 'Deep learning', 'Artificial intelligence', 'Deep learning']"
best_bi_encoder_sentence_128_overlap_0,q04,What is an artificial neuron's output computed by?,"The output of each neuron is computed by some non-linear function of the totality of its inputs, called the activation function.",some non-linear function of the sum of its inputs,1,0.5257142857142857,"['Neural network (machine learning)', 'Machine learning', 'Neural network (machine learning)', 'Neural network (machine learning)', 'Machine learning']"
best_bi_encoder_sentence_128_overlap_0,q05,What is backpropagation an efficient application of?,Backpropagation is an efficient application of the chain rule to neural networks.,a gradient computation method,0,0.2018348623853211,"['Backpropagation', 'Backpropagation', 'Backpropagation', 'Deep learning', 'Backpropagation']"
best_bi_encoder_sentence_128_overlap_0,q06,What was the name of the simulation of Rogerian psychotherapy developed in the 1960s for natural language processing?,"ELIZA, a simulation of Rogerian psychotherapy, was written by Joseph Weizenbaum between 1964 and 1966.",ELIZA,1,0.09615384615384616,"['Natural language processing', 'Backpropagation', 'Neural network (machine learning)', 'Artificial intelligence', 'Artificial intelligence']"
best_bi_encoder_sentence_128_overlap_0,q07,What was the title of the 2017 paper that proposed the original transformer architecture?,The original transformer architecture was proposed in the 2017 paper 'Attention Is All You Need' by Ashish Vaswani and colleagues at Google.,[Chunk 1],0,0.08333333333333333,"['Transformer (deep learning)', 'Neural network (machine learning)', 'Transformer (deep learning)', 'Artificial intelligence', 'Transformer (deep learning)']"
best_bi_encoder_sentence_128_overlap_0,q08,What two tasks was BERT pre-trained on simultaneously?,BERT was pre-trained simultaneously on masked language modeling (MLM) and next sentence prediction (NSP).,Masked language modeling (MLM),1,0.4375,"['BERT (language model)', 'BERT (language model)', 'BERT (language model)', 'BERT (language model)', 'BERT (language model)']"
best_bi_encoder_sentence_128_overlap_0,q09,On what date was GPT-4 released?,"GPT-4 was released on March 14, 2023.","March 14, 2023",1,0.5416666666666666,"['GPT-4', 'GPT-4', 'GPT-4', 'GPT-4', 'GPT-4']"
best_bi_encoder_sentence_128_overlap_0,q10,What does RAG stand for in the context of language models?,"RAG stands for Retrieval-Augmented Generation, a technique that enables large language models to retrieve and incorporate new information from external data sources.",Retrieval-augmented generation,1,0.31088082901554404,"['Retrieval-augmented generation', 'Retrieval-augmented generation', 'Retrieval-augmented generation', 'Prompt engineering', 'Retrieval-augmented generation']"
